"ocm","type","est","cilo","cihi","p","category","group","ndocs"
"ANY","null",6.5302,2,12,0.2052,"LOVE","algi1248",60
"ANY","nhs",4,NA,NA,NA,"LOVE","algi1248",60
"ANY","null",2.216,0,5,0.124,"LOVE","atha1245",23
"ANY","nhs",5,NA,NA,NA,"LOVE","atha1245",23
"ANY","null",16.759,10,24,0.3664,"LOVE","atla1278",134
"ANY","nhs",14,NA,NA,NA,"LOVE","atla1278",134
"ANY","null",21.4478,13,30,0.5024,"LOVE","aust1305",25
"ANY","nhs",19,NA,NA,NA,"LOVE","aust1305",25
"ANY","null",8.419,3,14,0.2788,"LOVE","aust1307",48
"ANY","nhs",12,NA,NA,NA,"LOVE","aust1307",48
"ANY","null",0.2792,0,2,0,"LOVE","ayma1253",11
"ANY","nhs",0,NA,NA,NA,"LOVE","ayma1253",11
"ANY","null",1.049,0,3,0,"LOVE","boro1281",10
"ANY","nhs",0,NA,NA,NA,"LOVE","boro1281",10
"ANY","null",1.8924,0,5,0.2672,"LOVE","chib1249",34
"ANY","nhs",1,NA,NA,NA,"LOVE","chib1249",34
"ANY","null",2.0708,0,5,0,"LOVE","chon1288",6
"ANY","nhs",0,NA,NA,NA,"LOVE","chon1288",6
"ANY","null",0.4568,0,2,0,"LOVE","chuk1271",9
"ANY","nhs",0,NA,NA,NA,"LOVE","chuk1271",9
"ANY","null",2.643,0,6,0.5156,"LOVE","dogo1299",18
"ANY","nhs",2,NA,NA,NA,"LOVE","dogo1299",18
"ANY","null",0.4222,0,2,0,"LOVE","eski1264",19
"ANY","nhs",0,NA,NA,NA,"LOVE","eski1264",19
"ANY","null",7.1062,3,13,0.0236,"LOVE","indo1319",68
"ANY","nhs",14,NA,NA,NA,"LOVE","indo1319",68
"ANY","null",7.144,3,13,0.8396,"LOVE","kore1284",42
"ANY","nhs",8,NA,NA,NA,"LOVE","kore1284",42
"ANY","null",0.5392,0,2,0.8556,"LOVE","mata1289",6
"ANY","nhs",1,NA,NA,NA,"LOVE","mata1289",6
"ANY","null",0.1624,0,1,0,"LOVE","maya1287",7
"ANY","nhs",0,NA,NA,NA,"LOVE","maya1287",7
"ANY","null",1.168,0,3,0.5784,"LOVE","nilo1247",9
"ANY","nhs",1,NA,NA,NA,"LOVE","nilo1247",9
"ANY","null",0.5946,0,2,0.044,"LOVE","saha1256",8
"ANY","nhs",3,NA,NA,NA,"LOVE","saha1256",8
"ANY","null",4.3192,1,8,0.8848,"LOVE","sino1245",49
"ANY","nhs",5,NA,NA,NA,"LOVE","sino1245",49
"ANY","null",5.059,2,9,0.034,"LOVE","taik1256",20
"ANY","nhs",10,NA,NA,NA,"LOVE","taik1256",20
"ANY","null",1.3164,0,4,0,"LOVE","tuca1253",14
"ANY","nhs",0,NA,NA,NA,"LOVE","tuca1253",14
"ANY","null",0.325,0,2,0.5616,"LOVE","tupi1275",8
"ANY","nhs",1,NA,NA,NA,"LOVE","tupi1275",8
"ANY","null",0.857,0,3,0.4248,"LOVE","turk1311",13
"ANY","nhs",2,NA,NA,NA,"LOVE","turk1311",13
