"ocm","type","est","cilo","cihi","p","category","group","ndocs"
"ANY","nhs",0,NA,NA,NA,"PLAY","NHS-R15",6
"ANY","null",5.1132,1,10,0.0032,"PLAY","NHS-R16",22
"ANY","nhs",13,NA,NA,NA,"PLAY","NHS-R16",22
"ANY","null",0.9804,0,3,0.7144,"PLAY","NHS-R17",14
"ANY","nhs",1,NA,NA,NA,"PLAY","NHS-R17",14
"ANY","null",1.1828,0,4,0.6412,"PLAY","NHS-R18",7
"ANY","nhs",1,NA,NA,NA,"PLAY","NHS-R18",7
"ANY","null",8.8048,3,15,0.3684,"PLAY","NHS-R19",23
"ANY","nhs",12,NA,NA,NA,"PLAY","NHS-R19",23
"ANY","null",1.9674,0,5,0,"PLAY","NHS-R20",11
"ANY","nhs",0,NA,NA,NA,"PLAY","NHS-R20",11
"ANY","null",7.8932,3,14,0.0316,"PLAY","NHS-R21",28
"ANY","nhs",15,NA,NA,NA,"PLAY","NHS-R21",28
"ANY","null",2.4088,0,6,0.842,"PLAY","NHS-R23",18
"ANY","nhs",3,NA,NA,NA,"PLAY","NHS-R23",18
"ANY","null",9.6524,3,17,0.9928,"PLAY","NHS-R24",51
"ANY","nhs",10,NA,NA,NA,"PLAY","NHS-R24",51
"ANY","null",8.9028,4,15,0,"PLAY","NHS-R25",68
"ANY","nhs",40,NA,NA,NA,"PLAY","NHS-R25",68
"ANY","null",1.9092,0,5,0.0108,"PLAY","NHS-R26",25
"ANY","nhs",7,NA,NA,NA,"PLAY","NHS-R26",25
"ANY","null",1.0428,0,3,0.5608,"PLAY","NHS-R27",18
"ANY","nhs",2,NA,NA,NA,"PLAY","NHS-R27",18
"ANY","null",4.0782,1,8,0.446,"PLAY","NHS-R28",12
"ANY","nhs",3,NA,NA,NA,"PLAY","NHS-R28",12
"ANY","null",109.2828,97,122,0.1416,"PLAY","NHS-R30",114
"ANY","nhs",119,NA,NA,NA,"PLAY","NHS-R30",114
"ANY","null",2.1688,0,5,0.7012,"PROCESSION","NHS-R01",28
"ANY","nhs",2,NA,NA,NA,"PROCESSION","NHS-R01",28
"ANY","null",1.5856,0,4,0.3924,"PROCESSION","NHS-R02",51
"ANY","nhs",1,NA,NA,NA,"PROCESSION","NHS-R02",51
"ANY","null",1.3826,0,4,0.482,"PROCESSION","NHS-R04",19
"ANY","nhs",1,NA,NA,NA,"PROCESSION","NHS-R04",19
"ANY","null",4.351,1,8,0.8796,"PROCESSION","NHS-R05",27
"ANY","nhs",5,NA,NA,NA,"PROCESSION","NHS-R05",27
"ANY","null",6.8254,3,11,0.7252,"PROCESSION","NHS-R06",23
"ANY","nhs",8,NA,NA,NA,"PROCESSION","NHS-R06",23
"ANY","null",0.753,0,3,0.0132,"PROCESSION","NHS-R07",11
"ANY","nhs",4,NA,NA,NA,"PROCESSION","NHS-R07",11
"ANY","null",13.8482,8,21,0.0936,"PROCESSION","NHS-R08",74
"ANY","nhs",20,NA,NA,NA,"PROCESSION","NHS-R08",74
"ANY","null",4.965,1,9,0.002,"PROCESSION","NHS-R09",60
"ANY","nhs",13,NA,NA,NA,"PROCESSION","NHS-R09",60
"ANY","null",6.5342,3,11,0.3336,"PROCESSION","NHS-R10",26
"ANY","nhs",9,NA,NA,NA,"PROCESSION","NHS-R10",26
"ANY","null",0.0764,0,1,0,"PROCESSION","NHS-R12",7
"ANY","nhs",0,NA,NA,NA,"PROCESSION","NHS-R12",7
"ANY","null",0.326,0,2,0,"PROCESSION","NHS-R15",6
"ANY","nhs",0,NA,NA,NA,"PROCESSION","NHS-R15",6
"ANY","null",3.3682,0,7,0.2356,"PROCESSION","NHS-R16",22
"ANY","nhs",6,NA,NA,NA,"PROCESSION","NHS-R16",22
"ANY","null",17.2284,10,25,0,"PROCESSION","NHS-R17",14
"ANY","nhs",57,NA,NA,NA,"PROCESSION","NHS-R17",14
"ANY","null",0.9228,0,3,0,"PROCESSION","NHS-R18",7
"ANY","nhs",0,NA,NA,NA,"PROCESSION","NHS-R18",7
"ANY","null",2.6014,0,6,4e-04,"PROCESSION","NHS-R19",23
"ANY","nhs",10,NA,NA,NA,"PROCESSION","NHS-R19",23
"ANY","null",0.6982,0,2,0,"PROCESSION","NHS-R20",11
"ANY","nhs",0,NA,NA,NA,"PROCESSION","NHS-R20",11
"ANY","null",8.538,4,14,0.0744,"PROCESSION","NHS-R21",28
"ANY","nhs",14,NA,NA,NA,"PROCESSION","NHS-R21",28
"ANY","null",1.5246,0,4,0,"PROCESSION","NHS-R23",18
"ANY","nhs",10,NA,NA,NA,"PROCESSION","NHS-R23",18
"ANY","null",42.1368,31,54,0.026,"PROCESSION","NHS-R24",51
"ANY","nhs",56,NA,NA,NA,"PROCESSION","NHS-R24",51
"ANY","null",27.8116,19,37,0,"PROCESSION","NHS-R25",68
"ANY","nhs",51,NA,NA,NA,"PROCESSION","NHS-R25",68
"ANY","null",4.8264,1,9,0,"PROCESSION","NHS-R26",25
"ANY","nhs",17,NA,NA,NA,"PROCESSION","NHS-R26",25
"ANY","null",1.8538,0,4,0.5532,"PROCESSION","NHS-R27",18
"ANY","nhs",3,NA,NA,NA,"PROCESSION","NHS-R27",18
"ANY","null",0.9516,0,3,0.512,"PROCESSION","NHS-R28",12
"ANY","nhs",2,NA,NA,NA,"PROCESSION","NHS-R28",12
"ANY","null",21.193,13,30,0,"PROCESSION","NHS-R30",114
"ANY","nhs",64,NA,NA,NA,"PROCESSION","NHS-R30",114
"ANY","null",20.6336,12,29.0249999999996,0,"MOURNING","NHS-R01",28
"ANY","nhs",82,NA,NA,NA,"MOURNING","NHS-R01",28
"ANY","null",10.8436,5,18,0.1852,"MOURNING","NHS-R02",51
"ANY","nhs",16,NA,NA,NA,"MOURNING","NHS-R02",51
"ANY","null",2.3344,0,5,4e-04,"MOURNING","NHS-R04",19
