"","type","length","name","instances","proportion","songs","proportion.cumulative","rank","proportion.zm"
"1178","relative pitch",3,"+11_-2",40,0.00198774735537138,6,0.886952124766125,85,0.0012342699198449
"1179","relative pitch",3,"+1_-10",59,0.00192774935393499,2,0.88887987412006,86,0.00121717370427267
"1180","relative pitch",3,"+0_+11",45,0.00190623911975371,14,0.890786113239813,87,0.00120050758216683
"1181","relative pitch",3,"+4_-7",93,0.00190335800689602,6,0.892689471246709,88,0.00118425598120278
"1182","relative pitch",3,"+5_-5",53,0.00179464872108991,15,0.894484119967799,89,0.00116840406109092
"1183","relative pitch",3,"-3_+2",86,0.00176198132449748,15,0.896246101292297,90,0.00115293767143259
"1184","relative pitch",3,"-2_+3",44,0.0017464881280266,10,0.897992589420323,91,0.00113784331243767
"1185","relative pitch",3,"+0_-11",24,0.00172833436988247,5,0.899720923790206,92,0.0011231080982806
"1186","relative pitch",3,"+7_-3",58,0.0017052778582098,10,0.901426201648415,93,0.00110871972289122
"1187","relative pitch",3,"-10_+10",53,0.00170106645199585,17,0.903127268100411,94,0.0010946664279945
"1188","relative pitch",3,"+5_+2",18,0.00166742408930283,9,0.904794692189714,95,0.00108093697322932
"1189","relative pitch",3,"+3_-10",39,0.00165451421259142,8,0.906449206402306,96,0.00106752060819075
"1190","relative pitch",3,"+3_+4",86,0.001622371209283,9,0.908071577611589,97,0.00105440704625363
"1191","relative pitch",3,"-9_+9",32,0.00159168400352643,9,0.909663261615115,98,0.00104158644004685
"1192","relative pitch",3,"+3_-5",65,0.00156734635972546,13,0.91123060797484,99,0.00102904935845872
"1193","relative pitch",3,"+0_+8",38,0.0015451433057687,10,0.912775751280609,100,0.00101678676506356
"1194","relative pitch",3,"+3_-7",27,0.00153116236149836,7,0.914306913642108,101,0.00100478999786837
"1195","relative pitch",3,"-2_+5",61,0.00152927399339679,16,0.915836187635504,102,0.000993050750286815
"1196","relative pitch",3,"-3_+5",46,0.00152709425552049,13,0.917363281891025,103,0.000981561053254909
"1197","relative pitch",3,"-3_+10",40,0.00151961325750875,9,0.918882895148534,104,0.000970313258409621
"1198","relative pitch",3,"-7_+5",18,0.00151661529974958,9,0.920399510448283,105,0.000959300022257696
"1199","relative pitch",3,"-8_+0",29,0.00151623295517315,9,0.921915743403456,106,0.000948514291267666
"1200","relative pitch",3,"-2_+11",42,0.00150320347509448,12,0.923418946878551,107,0.000937949287823084
"1201","relative pitch",3,"-5_+5",35,0.00145461044975412,12,0.924873557328305,108,0.00092759849697974
"1202","relative pitch",3,"+3_+7",34,0.00139582239691901,5,0.926269379725224,109,0.000917455653973896
"1203","relative pitch",3,"-7_+2",26,0.00139032936988713,10,0.927659709095111,110,0.000907514732432531
"1204","relative pitch",3,"+2_-3",32,0.00133059189433016,14,0.928990300989441,111,0.000897769933240177
"1205","relative pitch",3,"-10_+2",27,0.00132616800579049,7,0.930316468995232,112,0.000888215674020264
"1206","relative pitch",3,"+8_-8",27,0.00132439953247268,6,0.931640868527704,113,0.000878846579191922
"1207","relative pitch",3,"-8_-2",57,0.00131612657740392,4,0.932956995105108,114,0.000869657470565993
"1208","relative pitch",3,"+11_-3",17,0.00128127821014085,3,0.934238273315249,115,0.000860643358446597
"1209","relative pitch",3,"+10_-2",33,0.00126710704044143,7,0.935505380355691,116,0.000851799433206946
"1210","relative pitch",3,"-7_+4",22,0.00124150105965609,10,0.936746881415347,117,0.000843121057310308
"1211","relative pitch",3,"+7_-4",26,0.0012279986320179,8,0.937974880047365,118,0.000834603757749027
"1212","relative pitch",3,"+11_+0",27,0.00122436019101773,8,0.939199240238382,119,0.000826243218876377
"1213","relative pitch",3,"+1_-3",45,0.00121447403057472,16,0.940413714268957,120,0.000818035275607742
"1214","relative pitch",3,"-5_+2",54,0.00114149944215042,10,0.941555213711108,121,0.000809975906969199
"1215","relative pitch",3,"-7_+3",63,0.00108123521701787,4,0.942636448928125,122,0.000802061229973059
"1216","relative pitch",3,"-9_+2",39,0.00106005040374684,10,0.943696499331872,123,0.000794287493801279
"1217","relative pitch",3,"-4_-1",42,0.00102504728378345,8,0.944721546615656,124,0.000786651074278911
"1218","relative pitch",3,"-3_+1",61,0.00100446799104925,7,0.945726014606705,125,0.000779148468620924
"1219","relative pitch",3,"-10_+3",26,0.000969072781118273,4,0.946695087387823,126,0.000771776290436821
"1220","relative pitch",3,"-3_-3",27,0.000946025881264436,8,0.947641113269088,127,0.000764531264978477
"1221","relative pitch",3,"+2_+5",30,0.000924630105828277,8,0.948565743374916,128,0.00075741022461754
"1222","relative pitch",3,"-1_-3",30,0.000921748039115547,10,0.949487491414031,129,0.000750410104539626
"1223","relative pitch",3,"-4_-2",44,0.000906387742202442,8,0.950393879156234,130,0.000743527938643322
"1224","relative pitch",3,"-11_+2",40,0.000896133832682337,6,0.951290012988916,131,0.000736760855632777
"1225","relative pitch",3,"+2_-9",33,0.000876316382303665,7,0.95216632937122,132,0.000730106075293343
"1226","relative pitch",3,"-10_+1",12,0.000866088602878234,2,0.953032417974098,133,0.000723560904940377
"1227","relative pitch",3,"-7_+9",29,0.000860457451548682,8,0.953892875425647,134,0.000717122736031937
"1228","relative pitch",3,"-1_-1",39,0.000855468820150968,6,0.954748344245798,135,0.00071078904093663
"1229","relative pitch",3,"+0_-9",21,0.000838383458129583,6,0.955586727703927,136,0.000704557369848443
"1230","relative pitch",3,"-11_+0",23,0.000797453577575397,7,0.956384181281503,137,0.000698425347840832
"1231","relative pitch",3,"-8_+2",17,0.000781110870221678,3,0.957165292151724,138,0.00069239067205283
"1232","relative pitch",3,"-2_-8",11,0.000738637944950043,2,0.957903930096674,139,0.000686451109000346
"1233","relative pitch",3,"+9_-11",33,0.000734791562006145,4,0.958638721658681,140,0.000680604492006245
"1234","relative pitch",3,"+10_-1",25,0.000724873183838208,7,0.959363594842519,141,0.000674848718743137
"1235","relative pitch",3,"-2_+8",11,0.000713152092887766,6,0.960076746935407,142,0.000669181748883197
"1236","relative pitch",3,"-10_+7",18,0.000702354272778889,4,0.960779101208185,143,0.000663601601849617
"1237","relative pitch",3,"+3_+3",24,0.000689569438865906,5,0.961468670647051,144,0.000658106354664639
"1238","relative pitch",3,"+10_-8",16,0.000661705517627953,5,0.962130376164679,145,0.000652694139889376
"1239","relative pitch",3,"+1_+1",29,0.000655696613879102,4,0.962786072778558,146,0.000647363143650905
"1240","relative pitch",3,"-1_+5",33,0.000652392605623751,7,0.963438465384182,147,0.000642111603752365
"1241","relative pitch",3,"+2_+9",27,0.000643189644800961,2,0.964081655028983,148,0.00063693780786204
"1242","relative pitch",3,"+7_-1",19,0.000637088956111559,5,0.964718743985095,149,0.00063184009177761
"1243","relative pitch",3,"-9_+5",27,0.000621604797601451,3,0.965340348782696,150,0.000626816837761973
"1244","relative pitch",3,"+7_-10",11,0.000615584986975847,3,0.965955933769672,151,0.000621866472947239
"1245","relative pitch",3,"+11_-4",16,0.000609384297588879,3,0.966565318067261,152,0.000616987467803662
"1246","relative pitch",3,"-9_+7",33,0.000606016931682791,4,0.967171334998944,153,0.000612178334670468
"1247","relative pitch",3,"+8_-3",14,0.00059674448393537,2,0.967768079482879,154,0.000607437626345702
"1248","relative pitch",3,"-2_-4",13,0.000595865296137788,4,0.968363944779017,155,0.000602763934732332
"1249","relative pitch",3,"+1_+4",35,0.00059571812705932,5,0.968959662906076,156,0.000598155889538048
"1250","relative pitch",3,"-3_-1",29,0.000584775536447458,8,0.969544438442524,157,0.000593612157026281
"1251","relative pitch",3,"+3_+5",14,0.000571915753819684,2,0.970116354196343,158,0.000589131438816118
"1252","relative pitch",3,"+3_-8",10,0.000570812624782295,2,0.970687166821126,159,0.000584712470728905
"1253","relative pitch",3,"+2_-11",27,0.000557496129899838,4,0.971244662951025,160,0.000580354021679444
"1254","relative pitch",3,"+7_+2",29,0.000554718708222804,7,0.971799381659248,161,0.000576054892609785
"1255","relative pitch",3,"-8_+1",11,0.000552656604501071,3,0.972352038263749,162,0.000571813915463731
"1256","relative pitch",3,"-11_+4",3,0.000525196065347265,2,0.972877234329097,163,0.000567629952200267
"1257","relative pitch",3,"-3_-7",15,0.000525129450388891,5,0.973402363779485,164,0.000563501893844191
"1258","relative pitch",3,"-1_+8",16,0.000495682355078822,7,0.973898046134564,165,0.000559428659572344
"1259","relative pitch",3,"-5_-2",21,0.000487845727309241,9,0.974385891861874,166,0.000555409195833892
"1260","relative pitch",3,"+8_+0",9,0.000483587740985891,4,0.974869479602859,167,0.000551442475503189
"1261","relative pitch",3,"+2_+7",20,0.000478354348763758,5,0.975347833951623,168,0.000547527497063835
"1262","relative pitch",3,"+10_-9",2,0.000476607943001865,2,0.975824441894625,169,0.00054366328382261
"1263","relative pitch",3,"+4_-11",21,0.000467291931097866,2,0.976291733825723,170,0.000539848883151997
"1264","relative pitch",3,"-5_+7",13,0.000454923470872477,7,0.976746657296595,171,0.000536083365760117
"1265","relative pitch",3,"+0_-6",18,0.000450791116143829,4,0.977197448412739,172,0.000532365824986924
"1266","relative pitch",3,"+7_+3",9,0.000442932897214788,2,0.977640381309954,173,0.000528695376125561
"1267","relative pitch",3,"+5_-1",17,0.000438099778234112,10,0.978078481088188,174,0.000525071155767849
"1268","relative pitch",3,"-6_+0",15,0.000430266424445657,6,0.978508747512634,175,0.00052149232117291
"1269","relative pitch",3,"-5_+1",22,0.000422838094258578,5,0.978931585606892,176,0.000517958049657987
"1270","relative pitch",3,"+4_-5",18,0.000404296162180754,6,0.979335881769073,177,0.000514467538010552
"1271","relative pitch",3,"-9_-1",1,0.000403551251008878,1,0.979739433020082,178,0.000511020001920851
"1272","relative pitch",3,"+5_+3",7,0.000402906633591134,5,0.980142339653673,179,0.000507614675434054
