"ocm","type","est","cilo","cihi","p","category","group","ndocs"
"ANY","null",6.9452,3,12,0.8872,"MARRIAGE","Middle America and the Caribbean",37
"ANY","nhs",7,NA,NA,NA,"MARRIAGE","Middle America and the Caribbean",37
"ANY","null",0.3068,0,2,0,"MARRIAGE","Middle East",6
"ANY","nhs",0,NA,NA,NA,"MARRIAGE","Middle East",6
"ANY","null",6.2552,2,11,0.3396,"MARRIAGE","North America",102
"ANY","nhs",9,NA,NA,NA,"MARRIAGE","North America",102
"ANY","null",6.8388,2,12,0.1676,"MARRIAGE","South America",88
"ANY","nhs",11,NA,NA,NA,"MARRIAGE","South America",88
"ANY","null",1.0746,0,3,0,"ENTERTAINMENT","Africa",233
"ANY","nhs",9,NA,NA,NA,"ENTERTAINMENT","Africa",233
"ANY","null",4.8282,1,9,0.414,"ENTERTAINMENT","Asia",215
"ANY","nhs",7,NA,NA,NA,"ENTERTAINMENT","Asia",215
"ANY","null",0.167,0,1,0.3156,"ENTERTAINMENT","Europe",62
"ANY","nhs",1,NA,NA,NA,"ENTERTAINMENT","Europe",62
"ANY","null",0.8794,0,3,0.7432,"ENTERTAINMENT","Middle America and the Caribbean",37
"ANY","nhs",1,NA,NA,NA,"ENTERTAINMENT","Middle America and the Caribbean",37
"ANY","null",0.0192,0,0,0,"ENTERTAINMENT","Middle East",6
"ANY","nhs",0,NA,NA,NA,"ENTERTAINMENT","Middle East",6
"ANY","null",6.4698,2,11,0.0012,"ENTERTAINMENT","North America",102
"ANY","nhs",16,NA,NA,NA,"ENTERTAINMENT","North America",102
"ANY","null",4.267,1,7,0.406,"ENTERTAINMENT","South America",88
"ANY","nhs",6,NA,NA,NA,"ENTERTAINMENT","South America",88
"ANY","null",51.9,40,65,0.0431999999999999,"GROUPBONDING","Africa",233
"ANY","nhs",40,NA,NA,NA,"GROUPBONDING","Africa",233
"ANY","null",37.5572,27,49,0.4656,"GROUPBONDING","Asia",215
"ANY","nhs",34,NA,NA,NA,"GROUPBONDING","Asia",215
"ANY","null",5.8538,2,11,0.0084,"GROUPBONDING","Europe",62
"ANY","nhs",13,NA,NA,NA,"GROUPBONDING","Europe",62
"ANY","null",11.2686,6,18,0.000399999999999956,"GROUPBONDING","Middle America and the Caribbean",37
"ANY","nhs",2,NA,NA,NA,"GROUPBONDING","Middle America and the Caribbean",37
"ANY","null",0.1744,0,1,0,"GROUPBONDING","Middle East",6
"ANY","nhs",0,NA,NA,NA,"GROUPBONDING","Middle East",6
"ANY","null",13.1436,7,20,0.1292,"GROUPBONDING","North America",102
"ANY","nhs",19,NA,NA,NA,"GROUPBONDING","North America",102
