"q","year","est","cilo","cihi"
2,1940,-0.0169447758688489,-0.0300401700514472,-0.0040101922232281
2,1941,-0.0155055413998975,-0.0273296475110224,-0.00381777728082973
2,1942,-0.0140095862380719,-0.0245902582199225,-0.0035650568920624
2,1943,-0.0124569103833723,-0.0217453743954126,-0.00328151786313688
2,1944,-0.0108475138357986,-0.0188484074772646,-0.00294006273068739
2,1945,-0.00918139659535071,-0.015889090564374,-0.00254963923650958
2,1946,-0.00745855866202876,-0.0128559007596378,-0.00211918753455494
2,1947,-0.00567900003583272,-0.0097481065676105,-0.00164979387369778
2,1948,-0.00384272071676258,-0.00656699697290504,-0.00114322003444199
2,1949,-0.00194972070481834,-0.00331885580173604,-0.000592587261251705
2,1950,0,0,0
2,1951,0.00200644139769244,0.000633286957591509,0.00338238085509441
2,1952,0.00406960348825898,0.00130857874568584,0.0068340920613765
2,1953,0.00618948627169961,0.00202558240521199,0.0103599505501191
2,1954,0.00836608974801435,0.00278704265014161,0.0139584273452496
2,1955,0.0105994139172032,0.00359128196809205,0.017626566455604
2,1956,0.0128894587792661,0.00442689682355949,0.0213615717871212
2,1957,0.0152362243342031,0.00528863168738314,0.025176681781427
2,1958,0.0176397105820143,0.00621466528856091,0.029059773296627
2,1959,0.0200999175226995,0.00716378115065643,0.0330183968044759
2,1960,0.0226168451562588,0.00817093319780947,0.0370561119642228
2,1961,0.0251904934826923,0.00918879680220536,0.0411645667613185
2,1962,0.0278208625019998,0.0102494692870931,0.0453351262126514
2,1963,0.0305079522141814,0.0113459311104776,0.0495986397481046
2,1964,0.0332517626192371,0.0125080511291624,0.0539544304651434
2,1965,0.036052293717167,0.0137205361273536,0.058392652193837
2,1966,0.0389095455079709,0.0149637199672105,0.0629093851446353
2,1967,0.0418235179916489,0.016196273687022,0.0675171733360965
2,1968,0.044794211168201,0.0175286876413622,0.0721486359690406
2,1969,0.0478216250376272,0.0188465220632189,0.0768533728733245
2,1970,0.0509057595999276,0.0202639649645428,0.0816927394656157
2,1971,0.054046614855102,0.0216750896352865,0.0865286615490477
2,1972,0.0572441908031505,0.0231177350522239,0.091419435709047
2,1973,0.0604984874440731,0.0245539818247872,0.0964638948705338
2,1974,0.0638095047778698,0.0260257882724946,0.101548128710622
2,1975,0.0671772428045407,0.027550341338356,0.10667172704269
2,1976,0.0706017015240856,0.0291016126897525,0.111980046429132
2,1977,0.0740828809365046,0.0307462486186391,0.117363282061325
2,1978,0.0776207810417977,0.0324314373571201,0.122753110407412
2,1979,0.0812154018399649,0.0341510381518646,0.128214212079203
2,1980,0.0848667433310062,0.0359117892097867,0.133747598530827
2,1981,0.0885748055149216,0.0376817137197369,0.139333458814468
2,1982,0.0923395883917111,0.0394754071184145,0.145021798532389
2,1983,0.0961610919613747,0.0413161130042625,0.150844145111061
2,1984,0.100039316223912,0.0431566622200939,0.156752912481614
2,1985,0.103974261179324,0.0450465876039221,0.162713017928447
2,1986,0.10796592682761,0.0470069000385208,0.168726722957675
2,1987,0.11201431316877,0.0489547660640848,0.174823448873855
2,1988,0.116119420202804,0.0509582113451878,0.180980201234057
2,1989,0.120281247929712,0.0529649332276086,0.187327979465542
2,1990,0.124499796349495,0.0550282092028399,0.193828706893975
2,1991,0.128775065462151,0.0570929933475388,0.200343371285107
2,1992,0.133107055267682,0.059254632739613,0.206924408938581
2,1993,0.137495765766086,0.0614039334386448,0.213585602006321
2,1994,0.141941196957365,0.0635682525243149,0.220393761837085
2,1995,0.146443348841518,0.0658122341370381,0.227106062903902
2,1996,0.151002221418545,0.0680985305795333,0.233976318172328
2,1997,0.155617814688446,0.0704460946713134,0.241036982970479
2,1998,0.160290128651221,0.0728591900894577,0.247996072757088
2,1999,0.16501916330687,0.0751439200644197,0.255139162899354
2,2000,0.169804918655393,0.077701994767993,0.262340117949845
3,1900,-0.0638927297857766,-0.122421016506375,-0.00677931632992746
3,1901,-0.0627868874102544,-0.120133822676975,-0.00687106782560592
3,1902,-0.0616740241277856,-0.117996799149867,-0.00684487736427905
3,1903,-0.0605541399383701,-0.115669908100888,-0.00698304903731185
3,1904,-0.0594272348420079,-0.113424778820315,-0.00690865163174484
3,1905,-0.0582933088386991,-0.111235492447542,-0.00690159996171835
3,1906,-0.0571523619284436,-0.109015008892724,-0.00688684947312449
3,1907,-0.0560043941112414,-0.106834698859014,-0.00669184053037889
3,1908,-0.0548494053870926,-0.104570823722275,-0.00658680214442536
3,1909,-0.0536873957559971,-0.102208186249661,-0.00642735636583824
3,1910,-0.0525183652179549,-0.0999910771409319,-0.00630323249386964
3,1911,-0.0513423137729661,-0.097549347028205,-0.00622740253584781
3,1912,-0.0501592414210306,-0.0952777289140646,-0.00618644448978461
3,1913,-0.0489691481621484,-0.0931049130097511,-0.00612446062240897
3,1914,-0.0477720339963195,-0.0907687850314073,-0.00599803700173925
3,1915,-0.046567898923544,-0.088455435179211,-0.00587127156883138
3,1916,-0.0453567429438218,-0.086000188679757,-0.00575805822044735
3,1917,-0.044138566057153,-0.0836737312037874,-0.00558812258939029
3,1918,-0.0429133682635375,-0.0813894733921457,-0.00543800158458882
3,1919,-0.0416811495629753,-0.0790529164726314,-0.00529733436802155
3,1920,-0.0404419099554664,-0.0766948568212379,-0.00510134100762076
3,1921,-0.0391956494410109,-0.0743527527198835,-0.00487643891247317
3,1922,-0.0379423680196087,-0.0720109917792737,-0.00476742186482471
3,1923,-0.0366820656912598,-0.0696824735082966,-0.00457494788157329
3,1924,-0.0354147424559643,-0.067247414792829,-0.00442265854988591
3,1925,-0.0341403983137221,-0.0648231388734752,-0.00427872783113127
3,1926,-0.0328590332645332,-0.062408043357332,-0.00408097140071234
3,1927,-0.0315706473083977,-0.0599927826842745,-0.00385149115993481
3,1928,-0.0302752404453155,-0.0575335490665389,-0.00366030558156931
3,1929,-0.0289728126752866,-0.055096509067268,-0.00351963960122111
