"country_code","station","date","score.1","score.2","score.3"
"ZA","ZA000067571",1958,0.87143519414139,0.0339627464324286,-0.499269613060967
"IC","IC000004097",2017,-0.791686105959504,-0.0638106631773637,0.0205088528110086
"MU","MUM00041265",2005,1.15432765007771,0.702265115634041,-0.382614600377862
"SZ","SZ000006717",1882,-1.52663004665148,-1.025098889326,0.365630181825786
"TU","TU000017040",1940,0.101976844485079,-0.300620562856534,0.784740856648513
"BK","BKM00014654",1917,-0.782106662704736,0.727616652600843,-0.694452470246542
"PS","PSC00914519",2000,0.716065617507063,0.132686863877852,0.0168204644723957
"RP","RP000098232",1968,1.20978517579672,-0.737920849754405,-0.991265837398715
"JM","JMM00078397",1981,1.20169196100245,-0.254345865431197,-0.287599188284359
"SZ","SZ000006717",1934,0.396765988944922,-0.944590758229018,-0.278279274491642
"ZI","ZI000067889",1952,0.25895593091513,-0.451723261604331,0.413510523772806
"LU","LU000006590",1989,-0.470346293599089,-0.118989615200302,-0.0770745073676916
"GI","GIM00008495",2012,0.784833567610655,0.606870584991453,-0.418866812773857
"TU","TUM00017370",2017,0.613706480522516,0.655660950029966,0.0382665912287603
"LG","LG000026350",1972,-0.510188364221621,0.131803871896835,0.287168500702888
"CK","CK000096996",1964,1.07471872100161,-1.37983396162536,-0.258861190302877
"EI","EI000003980",2015,-0.334593133822102,-1.74285425043891,1.27010653773094
"LH","LH000026730",2001,-1.0374681150989,0.633581705457476,-0.797100293361582
"ZA","ZA000067667",1989,1.27478149379244,0.0643656728092603,-0.708857833538658
"UV","UV000065501",1982,1.16223190017532,0.617115484654701,-0.278455381237047
"MO","MOM00060150",1994,0.245400909609336,1.06941172623783,-0.0134226433916319
"CI","CI000085442",2009,-2.08449247508515,3.54185159806405,1.89064810072026
"CY","CYE00100065",2007,0.796980968344071,0.25687803607975,-0.402620262435799
"RP","RPC00914100",1974,1.25422170420228,-0.863436354240011,-0.832781191844165
"NZ","NZ000093844",2000,-0.354644240651354,-0.66984366342305,0.898425147331456
"SU","SU000062752",1975,0.866219519074471,0.564942331285475,-0.413888426102097
"IC","IC000004030",1983,-1.42568166149597,-0.577897112423328,0.687932295252673
"CY","CYE00100074",1953,-0.0530840110131183,0.945948888105867,0.0928142582895961
"SU","SU000062721",1973,0.429601220493378,1.6536913390978,0.0277779848972493
"NZ","NZ000093292",1990,0.169662311123539,0.269885409992799,1.30238984494519
"TS","TSE00147767",1925,0.296659553432855,0.124087082325779,0.350795200231269
"TU","TU000017074",1961,-0.371635872610235,0.540268544281737,-0.431015028239521
"RP","RP000098851",1990,1.21250868925987,-0.0169240386149745,-0.357496137411749
"ID","IDM00097460",2012,0.837071425615348,-0.131749685315103,-0.0764405861272826
"IC","ICM00004014",1996,-1.30249629341946,-1.21674535391601,0.381377694438999
"TS","TSE00147775",1929,-0.0357745370909673,1.05002972840184,0.53817165255116
"IC","ICM00004082",2006,-1.11060286703338,-1.10805791317794,0.655498047482806
"UV","UV000005503",1943,1.21504229194089,0.260014786691741,-0.649478693448385
"SU","SU000062840",1975,1.21146202079972,0.225237383157083,-0.699724360606638
"SU","SU000062762",1982,1.00439776517648,1.40232770226162,0.142519130502951
"ZI","ZI000067843",1973,0.768330857913448,0.403524745432006,-0.235721594793504
"IR","IR000040745",1970,-0.758521162368217,3.42194967054273,-1.56030053429878
"LU","LU000006590",1948,-0.529438438762818,-0.439084316177849,0.557411558209927
"LG","LG000026435",1964,-0.274861216021204,0.22132523005095,0.12413140593989
"LO","LOE00116364",2003,-1.11934726827471,-0.253334824827942,-0.993944830812369
"ZA","ZA000067667",1967,0.81784297029365,0.342179658170976,-0.331054970028279
"NZ","NZ000093417",1975,0.035989131304318,-0.893271776880272,0.544505865148427
"LH","LH000026509",1951,-1.10660919409005,0.473422617165046,-0.6346753387369
"NZ","NZ000093994",1985,0.583640829722029,-1.2008981093604,0.255110597277552
"LO","LOE00116364",1998,-1.15273730671134,-0.556975942310307,-1.01484854030049
"ZI","ZI000067761",1969,0.960471567992889,0.0820399746089558,-0.345194311862006
"PM","PM000128005",1982,0.36098144413393,-0.488295272441742,-0.227236075300078
"TU","TU000017240",1974,-0.128704865216093,0.288105926565503,-0.297968332507534
"PS","PSC00914519",1987,1.21833452014346,-2.04867015833953,-0.685915507982655
"JM","JM000078388",1975,1.10737456885081,-0.199892654510018,-0.24070320413179
"EI","EIE00101859",2000,-0.184085216016374,0.0372235837069786,-0.0184870448611454
"SZ","SZ000002220",1956,-2.21876878020681,-0.856150808910457,-0.464892933546708
"EI","EIE00107808",2014,-0.15050484584358,-1.55130242360957,1.05155758952492
"MO","MOM00060318",1992,0.190743107891693,0.691852113675631,0.490426889727046
"PL","PL000012120",2014,-0.824856274755254,0.649520653329114,0.204525660100064
"EI","EIE00101859",1979,-0.560663633258453,-1.31537954842586,1.61112816817311
"TU","TU000017040",1983,0.0451459443960887,-0.360027231822378,-0.165175199999207
"SZ","SZ000009480",1992,0.0957053159661843,-0.496958744844782,0.152630060659125
"MO","MOW00013023",1958,0.525178917899479,1.58083983861229,0.890740489364111
"LG","LG000026422",1949,-0.756285866901321,0.0694894780590108,-0.610392925414821
"LG","LG000026346",1969,-0.675127426044685,0.0942088073003483,0.384897985081237
"PS","PSW00040309",1983,1.19461888448376,-1.59443895416134,-0.339485741946808
"LG","LG000026403",1960,-0.791674941002069,0.126563627560149,0.51879896949465
"TS","TSM00060715",1975,0.550662498155632,0.398295108867678,0.170611975367521
"CY","CYE00100074",2007,0.433006340057571,1.11886951555426,-0.121396026025949
"ZA","ZA000067571",1988,0.664219224578545,0.153336790410271,-0.351772627258433
"LG","LG000026544",1984,-0.853711709871232,0.0353460900673732,0.495723709309012
"CY","CY000176090",1995,0.472341299781718,1.3604940172992,0.770790070790052
"TO","TO000005352",1959,1.16229070678745,0.210078917654274,-0.476372664614656
"ID","ID000097900",2007,1.22171094407434,-0.29209078335434,-0.379536474650077
"LU","LUE00100950",2002,-0.577995026960805,-0.173877993782761,0.299734406479865
"SZ","SZ000006717",1901,-0.199390685912137,-0.773035938572238,0.154988742528087
"TS","TSE00147770",1948,0.615896285479814,0.502574268996152,0.0391108524763112
"ZA","ZA000067571",1985,0.11520450532451,-0.519088093453291,-0.0685364817195863
"CQ","CQC00914855",1989,0.272206844750343,-1.7684463716122,0.658669363560881
"LO","LOE00105562",1947,-0.525391823632863,0.823342961560388,-0.758994754566829
"MO","MOE00147756",1960,0.335833137390001,0.418899977193594,-0.109877483318555
"MU","MUM00041244",2003,0.390607773934217,2.64863731436537,1.46603869990589
"LU","LUE00100948",2004,-0.693824818758144,-0.185414471156952,0.4338414210463
"MO","MOM00060230",1974,0.478251565062297,1.44689458916711,0.428032243085993
"CY","CYE00100065",1947,1.22122827542018,0.0557547719310528,-0.722877193007887
"ZA","ZA000067475",1968,0.284129679173816,-0.389825705912786,-0.17610665094775
"KE","KE000063723",1978,1.17381594803608,0.471257585908758,-0.652164213390538
"NZ","NZ000937470",1976,-0.25565139614736,-0.614160600243545,0.798060452985503
"SZ","SZE00116090",1976,-0.560186599918489,0.237819150072589,-0.955120650916364
"LU","LUE00100952",1956,-0.73446360854945,-0.0535161274280696,0.422968782091649
"PP","PP000092044",1996,1.17536135365065,-1.55848021067267,-0.151452360947863
"TU","TU000017040",1988,0.115417843014575,-0.0994946675303406,0.816194601106279
"LU","LUE00100949",1958,-0.206890533005998,-0.792690432779913,0.0544377110303544
