"song","tempo_adj","macrometer_ord","syncopate","accent","dynamics","ritard_accel","micrometer_duple","micrometer_triple","macrometer_duple","macrometer_triple","variation_rhythmic","variation_melodic","ornament","vibrato","tension","scale_quality_minor"
5,102.741935483871,3.12903225806452,0.290322580645161,0.258064516129032,0.548387096774194,0.161290322580645,0.806451612903226,0.129032258064516,0.451612903225806,0.0645161290322581,0.548387096774194,0.709677419354839,0.419354838709677,0,1.64516129032258,0.0769230769230769
6,196.774219258065,4.06451612903226,0.774193548387097,0.67741935483871,0.548387096774194,0.0967741935483871,0.548387096774194,0.612903225806452,0.580645161290323,0.225806451612903,0.67741935483871,0.580645161290323,0.0967741935483871,0,2.32258064516129,0.333333333333333
7,150.096774193548,5.54838709677419,0.629032258064516,0.516129032258065,0.838709677419355,0.193548387096774,0.419354838709677,0.67741935483871,0.548387096774194,0.483870967741935,0.32258064516129,0.161290322580645,0.483870967741935,0.67741935483871,3.2258064516129,0
8,204.403225806452,5.45161290322581,0.806451612903226,0.629032258064516,0.806451612903226,0.193548387096774,0.903225806451613,0.225806451612903,0.967741935483871,0.0645161290322581,0.193548387096774,0.258064516129032,0.612903225806452,0.645161290322581,3.25806451612903,0
9,83.5590966774194,4.58064516129032,0.354838709677419,0.225806451612903,0.0967741935483871,0.0645161290322581,0.258064516129032,0.774193548387097,0.741935483870968,0.258064516129032,0.0967741935483871,0.032258064516129,0,0,2.19354838709677,0
10,91.4516542580645,4.64516129032258,0.806451612903226,0.67741935483871,0.67741935483871,0.032258064516129,0.806451612903226,0.419354838709677,0.741935483870968,0.129032258064516,0.258064516129032,0.225806451612903,0.354838709677419,0.290322580645161,2.54838709677419,0.25
11,68.8709677419355,4.29032258064516,0.274193548387097,0.370967741935484,0.483870967741935,0.193548387096774,0.967741935483871,0.032258064516129,0.645161290322581,0.32258064516129,0.32258064516129,0.387096774193548,0.483870967741935,0.0645161290322581,2.2258064516129,NA
12,184.75,5.54838709677419,0.758064516129032,0.451612903225806,0.290322580645161,0.32258064516129,1,0.032258064516129,0.935483870967742,0,0.516129032258065,0.516129032258065,0.580645161290323,0.161290322580645,2.38709677419355,0.0333333333333333
13,120.048387096774,5.32258064516129,0.370967741935484,0.661290322580645,0.548387096774194,0.193548387096774,0.935483870967742,0.032258064516129,0.967741935483871,0.032258064516129,0.354838709677419,0.161290322580645,0.451612903225806,0.290322580645161,2.2258064516129,0.9
14,111.83064516129,4.12903225806452,0.580645161290323,0.258064516129032,0.225806451612903,0.161290322580645,0.612903225806452,0.419354838709677,0.548387096774194,0.419354838709677,0.32258064516129,0.193548387096774,0.0967741935483871,0.161290322580645,1.80645161290323,0.0333333333333333
15,115.935483870968,4.54838709677419,0.0806451612903226,0.548387096774194,0.387096774193548,0,1,0,0.838709677419355,0.193548387096774,0.032258064516129,0.129032258064516,0.354838709677419,0.0645161290322581,1.70967741935484,0.3125
16,112.451612903226,5.58064516129032,0.419354838709677,0.532258064516129,0.387096774193548,0.0645161290322581,0.967741935483871,0.0967741935483871,0.967741935483871,0,0.612903225806452,0.419354838709677,0.290322580645161,0.032258064516129,2.19354838709677,0.0869565217391304
17,71.4516129032258,3.38709677419355,0.225806451612903,0.532258064516129,0.387096774193548,0,1,0,0.580645161290323,0.0645161290322581,0.612903225806452,0.774193548387097,0.516129032258065,0.032258064516129,2.19354838709677,0.111111111111111
18,128.733870967742,4,0.370967741935484,0.580645161290323,0.516129032258065,0.0645161290322581,0.193548387096774,0.935483870967742,0.709677419354839,0.32258064516129,0.451612903225806,0.290322580645161,0.870967741935484,0.580645161290323,2.32258064516129,0
19,158.483870967742,4.38709677419355,0.612903225806452,0.532258064516129,0,0,0.903225806451613,0.225806451612903,0.741935483870968,0.290322580645161,0.516129032258065,0.483870967741935,0.741935483870968,0.612903225806452,1.93548387096774,0.333333333333333
20,173.951612903226,3.19354838709677,0.564516129032258,0.67741935483871,0.483870967741935,0.258064516129032,0.774193548387097,0.129032258064516,0.387096774193548,0.129032258064516,0.354838709677419,0.193548387096774,0.67741935483871,0.290322580645161,1.90322580645161,0.166666666666667
21,103.483870967742,5.35483870967742,0.17741935483871,0.241935483870968,0.032258064516129,0,0.935483870967742,0.161290322580645,0.935483870967742,0,0.129032258064516,0.0645161290322581,0.0967741935483871,0.032258064516129,1.87096774193548,0
22,159.70564516129,5.41935483870968,0.67741935483871,0.596774193548387,0.354838709677419,0.032258064516129,0.516129032258065,0.67741935483871,0.967741935483871,0.032258064516129,0.129032258064516,0.258064516129032,0.161290322580645,0.32258064516129,2.93548387096774,NA
23,114.209638645161,3.2258064516129,0.435483870967742,0.5,0.193548387096774,0.032258064516129,0.967741935483871,0.129032258064516,0.32258064516129,0.225806451612903,0.419354838709677,0.258064516129032,0.0967741935483871,0.0645161290322581,1.29032258064516,0.96
24,152.967741935484,4,0.403225806451613,0.709677419354839,0.032258064516129,0.967741935483871,0.870967741935484,0.290322580645161,0.967741935483871,0.129032258064516,0.548387096774194,0.258064516129032,0.516129032258065,0.354838709677419,1.83870967741935,0.642857142857143
