song,annotator,annotator_degree,annotator_field,tonal,tonal_pitch1,tonal_pitch2,scale,scale_type1,scale_type2,scale_quality,tempo_raw,tempo_adj,tempo_med,tempo_tap,tempo_val,micrometer,macrometer_text,macrometer_ord,macrometer_none,macrometer_2,macrometer_3,macrometer_4,macrometer_5,macrometer_6,macrometer_7,macrometer_8,macrometer_9,macrometer_10,macrometer_11,macrometer_12,macrometer_13,macrometer_14,macrometer_15,macrometer_other,repeat_small,repeat_large,repeat_vary,singers_n,singers_sex,leader,unison,polyphony,call_response,contour,ornament,vibrato,dynamics,ritard,words,infant,tension,tension_melody,tension_harmony,tension_rhythm,tension_motif,tension_accent,tension_dynamic,tension_voices,tension_inst,syncopate,accent,ending_stop,ending_finalnote,ending_long,ending_ritard,ending_accel,ending_loud,ending_quiet,ending_follow,ending_unknown,ending_other,clap,stomp,instru,instru_idio,instru_membrano,instru_aero,instru_chordo,instru_rhythm1,instru_rhythm2,instru_pitched,instru_drone,instru_harmony,instru_bassline,instru_cpt,instru_melody,transcr_qual,transcr_qualo,transcr_diff,transcr_diffo,transcr_text,like,guess_genre,guess_loc,comment_song
2,LWP,.,.,0,.,.,0,.,.,Unknown,40,40,40,Quarter,.25,Duple,No macrometer,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,0,0,No repetition,7 or more,Both sexes,Female leader(s),1,0,0,Descending,0,1,Multiple dynamics,Speeds up and slows down,Words present,0,1,1,0,0,0,0,0,0,0,0,.5,0,0,1,0,0,0,0,0,0,,0,0,No instruments,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,,6,Healing,North America,
2,LYH,MM,Music Theory,1,C,Single point of stability,1,Undefined,Single pitch collection,Unknown,92,92,92,Quarter,.25,Duple,Inconsistent deviations macrometer,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,.,1,1,Rhythmic and melodic variation,5,Both sexes,Male leader(s),1,1,1,Up-down,0,1,No dynamics,No ritard or accel,Words present,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,,0,0,No instruments,0,0,0,0,0,0,0,0,0,0,0,0,Very inaccurate,3,Extremely difficult,2,,3,Healing,Asia,
2,MAB,.,.,1,C,Single point of stability,1,Undefined,Single pitch collection,Unknown,48,48,48,Quarter,.25,Duple,Minor deviations from macrometer,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,.,1,0,Identical,5,Male,Male leader(s),1,1,0,Descending,0,0,Multiple dynamics,No ritard or accel,Words present,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,,0,0,No instruments,0,0,0,0,0,0,0,0,0,0,0,0,Sort of accurate,5,Sort of easy,5,,1,Healing,Africa,
2,MBL,.,.,1,C,Single point of stability,1,Generic major,Generic minor,Major,45,45,45,Quarter,.25,Neither duple nor triple,No macrometer but has clear phrases,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,0,1,Identical,5,Female,Female leader(s),1,1,0,Descending,0,0,No dynamics,No ritard or accel,Words present,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,,0,0,No instruments,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,,3,Healing,Africa,
2,PAM,BM,Music Theory,1,C,Single point of stability,1,Generic minor,Single pitch collection,Minor,55,55,55,Quarter,.25,Duple,No macrometer but has clear phrases,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,1,1,Identical,3,Male,Male leader(s),1,0,0,Descending,0,0,No dynamics,No ritard or accel,Words present,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,,0,0,No instruments,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,,6,Healing,Europe,
2,PDA,MM,.,1,C,Single point of stability,1,Undefined,Single pitch collection,Unknown,57,57,57,Quarter,.25,Duple,No macrometer but has clear phrases,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,1,1,Rhythmic and melodic variation,4,Both sexes,Female leader(s),1,1,1,Descending,1,0,Quiets down,No ritard or accel,Words present,0,1,0,1,0,0,0,0,1,0,0,.5,0,0,1,0,0,0,0,0,0,,0,0,No instruments,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,,6,Love,Africa,
2,PES,PhD,Ethnomusicology,0,.,.,0,.,.,Unknown,45,45,45,Quarter,.25,Neither duple nor triple,No macrometer but has clear phrases,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,0,1,Rhythmic and melodic variation,7 or more,Both sexes,No leader,0,1,0,Descending,1,1,No dynamics,No ritard or accel,Words present,0,1,1,1,0,0,0,0,1,0,0,.5,0,0,1,0,0,0,0,0,0,,0,0,No instruments,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,,6,Healing,Oceania,
2,RAB,PhD,Music Theory,1,C,Single point of stability,1,Undefined,Single pitch collection,Unknown,50,50,50,Quarter,.25,Neither duple nor triple,No macrometer but has clear phrases,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,1,0,No repetition,5,Male,Male leader(s),0,1,1,Up-down,1,0,No dynamics,Speeds up and slows down,Words present,0,1,1,0,1,0,1,0,1,0,0,.5,0,0,1,0,0,0,0,0,0,,0,0,No instruments,0,0,0,0,0,0,0,0,0,0,0,0,Very inaccurate,3,Extremely difficult,2,,8,Healing,Africa,"99:99 one can hear the desire of the accompanying singers to arrive on the C-D second, as a kind of sweet spot in almost every phrase. Amazing music, and amazing music-making."
2,RLW,MM,Ethnomusicology,1,C,Single point of stability,1,Aeolian,Generic minor,Minor,52,52,52,Quarter,.25,Both duple and triple,Consistent deviations from macrometer,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,.,1,1,Rhythmic variation,7 or more,Both sexes,Female leader(s),1,1,1,Descending,0,0,No dynamics,No ritard or accel,Words present,0,1,1,1,0,0,0,0,1,0,.5,0,0,0,1,0,0,0,0,0,0,,0,0,No instruments,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,,4,Healing,Europe,
2,SMG,BM,.,1,C,Single point of stability,1,Generic major,Single pitch collection,Major,66,66,66,Quarter,.25,Duple,No macrometer but has clear phrases,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,0,1,Rhythmic and melodic variation,5,Male,Male leader(s),1,1,1,Descending,0,0,Multiple dynamics,Slows down,Words present,0,1,1,0,0,0,1,0,0,0,0,.5,0,0,1,0,0,0,0,0,0,,0,0,No instruments,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,,3,Love,Middle America,
2,TTO,MM,.,1,C,Single point of stability,1,Minor pentatonic,Single pitch collection,Minor,18,18,18,Quarter,.25,Duple,No macrometer but has clear phrases,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,0,1,Identical,7 or more,Male,Male leader(s),1,1,1,Up-down,0,0,Multiple dynamics,No ritard or accel,Words present,1,1,1,0,0,0,0,0,0,0,1,.5,0,0,1,0,0,0,0,0,0,,0,0,No instruments,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,,4,Lullaby,Africa,
2,VLM,PhD,Music Theory,1,C,Single point of stability,1,Generic major,Generic minor,Major,129,64.5,64.5,Eighth,.125,Duple,No macrometer but has clear phrases,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,1,1,Rhythmic and melodic variation,5,Both sexes,Female leader(s),1,1,0,Descending,0,0,No dynamics,No ritard or accel,Words present,0,1,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,,0,0,No instruments,0,0,0,0,0,0,0,0,0,0,0,0,Sort of accurate,5,Very difficult,3,"The rhythms don't seem consistent in this transcription, though if I were tasked to transcribe this song, I'd have a really tough time with the rhythms! The pitch content, including all of the interesting split thirds, is spot on.",6,Healing,Africa,
