ocm,type,est,cilo,cihi,p,category,group,ndocs
ANY,null,6.9452,3,12,.8872,MARRIAGE,Middle America and the Caribbean,37
ANY,nhs,7,NA,NA,.8872,MARRIAGE,Middle America and the Caribbean,37
ANY,null,.30680001,0,2,0,MARRIAGE,Middle East,6
ANY,nhs,0,NA,NA,0,MARRIAGE,Middle East,6
ANY,null,6.2551999,2,11,.3396,MARRIAGE,North America,102
ANY,nhs,9,NA,NA,.3396,MARRIAGE,North America,102
ANY,null,6.8388,2,12,.1676,MARRIAGE,South America,88
ANY,nhs,11,NA,NA,.1676,MARRIAGE,South America,88
ANY,null,1.0746,0,3,0,ENTERTAINMENT,Africa,233
ANY,nhs,9,NA,NA,0,ENTERTAINMENT,Africa,233
ANY,null,4.8281999,1,9,.414,ENTERTAINMENT,Asia,215
ANY,nhs,7,NA,NA,.414,ENTERTAINMENT,Asia,215
ANY,null,.167,0,1,.3156,ENTERTAINMENT,Europe,62
ANY,nhs,1,NA,NA,.3156,ENTERTAINMENT,Europe,62
ANY,null,.87940001,0,3,.7432,ENTERTAINMENT,Middle America and the Caribbean,37
ANY,nhs,1,NA,NA,.7432,ENTERTAINMENT,Middle America and the Caribbean,37
ANY,null,.019200001,0,0,0,ENTERTAINMENT,Middle East,6
ANY,nhs,0,NA,NA,0,ENTERTAINMENT,Middle East,6
ANY,null,6.4698,2,11,.0012,ENTERTAINMENT,North America,102
ANY,nhs,16,NA,NA,.0012,ENTERTAINMENT,North America,102
ANY,null,4.2670002,1,7,.406,ENTERTAINMENT,South America,88
ANY,nhs,6,NA,NA,.406,ENTERTAINMENT,South America,88
ANY,null,51.900002,40,65,.0431999999999999,GROUPBONDING,Africa,233
ANY,nhs,40,NA,NA,.0431999999999999,GROUPBONDING,Africa,233
ANY,null,37.557201,27,49,.4656,GROUPBONDING,Asia,215
ANY,nhs,34,NA,NA,.4656,GROUPBONDING,Asia,215
ANY,null,5.8537998,2,11,.0084,GROUPBONDING,Europe,62
ANY,nhs,13,NA,NA,.0084,GROUPBONDING,Europe,62
