song,func_danc,func_heal,func_love,func_baby,func_dead,func_stor,form_sing,form_gend,form_inst,form_melo,form_rhyt,form_fast,form_beat,form_exci,form_happ,form_plea
11,2.0044644,2.8303571,3.2410715,2.2276785,3.7276785,4.1473212,3.825,.84507042,.39506173,3.2278481,3.0263157,2.9358974,4.3150687,3.3589745,3.7352941,4.2368422
12,4.7333331,2.7208333,3.55,1.6875,2.2375,4.1416669,1.060241,-.050847456,1.7564102,3.7605634,3.8219178,4.7352943,4.7951808,4.4459457,4.4084506,4.3333335
13,5.1023622,3.019685,2.7440944,1.6181102,2.6811023,3.5511811,1.4117647,-.81176472,2.1304348,3.3375001,3.5108695,4.4019608,4.2048192,4.1025643,4.3645835,3.5882354
14,1.6666666,3.4358974,3.1581197,2.9829059,3.5042734,4.213675,1.0375,-.96721309,.20967741,2.6962025,2.7260275,2.5522387,3.6666667,2.6206896,3.05,3.5405405
15,3.7733333,3.7377777,2.5377777,1.8044444,3.4933333,4.3511109,1.0256411,-.98717946,1.1875,3.0289855,3.0799999,4.3157897,4.7887325,3.6056337,3.8591549,3.8873239
16,4.1126127,3.0585585,3.2207208,1.9234234,2.7522523,4.3288288,1.7804878,-.12941177,2.0266666,3.5060241,3.4285715,3.6164384,4.1688313,3.5405405,4.0675673,3.8533332
17,2.8773584,2.7924528,3.5424528,2.0518868,2.731132,4.7028303,1.0379747,-1,1.2588235,2.7083333,2.9523809,3.2317073,4.2537313,3.2911391,3.8,3.8965516
18,2.0450451,3.1396396,3.6801801,2.5450451,2.7432432,4.2612615,1.0113636,.902439,.57303369,3.4264705,3.1851852,3.465909,3.3802817,3.0384614,3.6805556,3.5384614
19,4.8571429,2.921659,3.2580645,1.6451613,2.5529954,4.2119818,3.5857143,.89610392,1.1232877,3.536232,3.3066666,4.6285715,4.4303799,4.257143,4.2533336,4.0333333
20,4.2222223,3.5990338,2.3719807,1.5072464,3.8309178,3.3333333,1.9733334,-.27906978,1.2051282,3.2413793,2.9487178,4.3913045,4.6944447,3.6049383,3.5294118,3.2531645
